name,address,phone,timeOpen,ratingAverage,priceRange,details
Kabin,"8-15 Ton Duc Thang Street, District 1 Renaissance Riverside Hotel Saigon, Thành phố Hồ Chí Minh 70000 Việt Nam",+84 28 3822 0033,Đang mở cửa: 11:30 SA - 2:30 CH6:00 CH - 10:00 CH,"5,0",380.952 ₫ - 2.380.952 ₫,"380.952 ₫ - 2.380.952 ₫, Kiểu Trung Quốc, Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten"
The Lounge,"88 Đồng Khởi, Q.1 Khách Sạn Sheraton, Thành phố Hồ Chí Minh 70000 Việt Nam",+84 28 3827 2828,Đang mở cửa: 07:00 SA - 12:00 SA,"5,0","Quầy bar, Cà phê","Quầy bar, Cà phê, Phù hợp với người ăn chay, Tùy chọn ăn chay, Bữa sáng, Bữa tối, Bữa nửa buổi, Bữa trưa"
Việt Kitchen,"8-15 Tôn Đức Thắng Khách Sạn Renaissance Riverside Saigon, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 28 3822 0033,Đang mở cửa: 06:00 SA - 10:00 CH,"5,0",309.524 ₫ - 2.380.952 ₫,"309.524 ₫ - 2.380.952 ₫, Quốc tế, Hải sản, Kiểu Việt, Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten"
Kabin,"8-15 Ton Duc Thang Street, District 1 Renaissance Riverside Hotel Saigon, Thành phố Hồ Chí Minh 70000 Việt Nam",+84 28 3822 0033,Đang mở cửa: 11:30 SA - 2:30 CH6:00 CH - 10:00 CH,"5,0",380.952 ₫ - 2.380.952 ₫,"380.952 ₫ - 2.380.952 ₫, Kiểu Trung Quốc, Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten"
Nhà Hàng Saigon Café,"80 Đông Du, Phường Bến Nghé, Quận 1 Sheraton Saigon Hotel & Towers, Thành phố Hồ Chí Minh 70000 Việt Nam",+84 28 3521 9148,Đang mở cửa: 06:00 SA - 10:30 SA12:00 CH - 2:30 CH6:00 CH - 10:00 CH,"5,0","Hải sản, Kiểu Á, Quốc tế","Hải sản, Kiểu Á, Quốc tế, Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten, Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi"
Nhà Hàng Le Corto,"5D Nguyễn Siêu, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 28 3822 0671,Đang mở cửa: 11:00 SA - 10:30 CH,"5,0",238.095 ₫ - 2.380.952 ₫,"238.095 ₫ - 2.380.952 ₫, Kiểu Pháp, Tốt cho sức khỏe, Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten"
Shadow Lounge,"244 Pasteur Street Ward Vo Thi Sau, District 3, Thành phố Hồ Chí Minh Việt Nam",+84 90 188 34 63,Đang mở cửa: 09:00 SA - 11:30 CH,"5,0",71.429 ₫ - 166.667 ₫,"71.429 ₫ - 166.667 ₫, Quầy bar, Cà phê, Quốc tế, Quán rượu, Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống"
Lưu Bar,"108 Phạm Viết Chánh Bình Thạnh, Thành phố Hồ Chí Minh 700000 Việt Nam",+(84)765891686,Đang mở cửa: 11:00 SA - 12:00 SA,"5,0",50.000 ₫ - 280.000 ₫,"50.000 ₫ - 280.000 ₫, Kiểu Pháp, Quầy bar, Quán rượu, Bữa trưa, Bữa tối, Đêm muộn, Đồ uống"
Poke Saigon Ly Tu Trong,"42 bis Ly Tu Trong First Floor, Thành phố Hồ Chí Minh 70000 Việt Nam",+84 90 247 43 88,Đang mở cửa: 10:00 SA - 9:00 CH,"5,0",6 ₫ - 7 ₫,"6 ₫ - 7 ₫, Kiểu Nhật, Kiểu Mỹ, Tốt cho sức khỏe, Kiểu Hawai, Hải sản, Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten"
Quán Poke Saigon,"42/25 Nguyễn Huệ Tầng 2, Thành phố Hồ Chí Minh Việt Nam",+84 90 247 43 88,Đang mở cửa: 10:00 SA - 9:00 CH,"5,0",139.535 ₫ - 209.302 ₫,"139.535 ₫ - 209.302 ₫, Kiểu Mỹ, Tốt cho sức khỏe, Kiểu Hawai, Hải sản, Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten"
Kebaby,"112 Pham Viet Chanh, Phuong 19, Binh Thanh, Thành phố Hồ Chí Minh 00000 Việt Nam",+84 90 865 97 03,Đang mở cửa: 11:00 SA - 10:30 CH,"5,0",47.619 ₫ - 166.667 ₫,"47.619 ₫ - 166.667 ₫, Kiểu Thổ Nhĩ Kỳ, Tốt cho sức khỏe, Đồ ăn nhanh, Quốc tế, Kiểu Địa Trung Hải, Thức ăn đường phố, Kiểu Trung Đông, Phù hợp với người ăn chay, Tùy chọn ăn chay, Thịt kiểu Hồi giáo, Tùy chọn đồ ăn không có gluten"
Banana Mama Rooftop & Kitchen,"102 Cống Quỳnh Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 93 408 47 54,Đang mở cửa: 12:00 SA - 02:00 SA4:00 CH - 02:00 SA,"5,0",Quán bar phục vụ đồ ăn,"Quán bar phục vụ đồ ăn, Bữa tối, Đêm muộn, Đồ uống, Đặt chỗ, Ngồi ngoài trời, Chỗ ngồi, Phục vụ đồ uống có cồn, Quầy bar đầy đủ, Wifi miễn phí, Dịch vụ bàn, Rượu và bia"
