id,name,phone,timeOpen,ratingAverage,details,Address,Longitude,Latitude
1,030 Cuisine,+(84)0794997030,Đang mở cửa: 11:00 SA - 10:30 CH,4.5,"Phong cách ẩm thực Fusion Nhật Bản, Kiểu Đức, Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống","8-15 Tôn Đức Thắng Khách Sạn Renaissance Riverside Saigon, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",106.7062995,10.7744649
2,1102 Crab Pot,+84 8 3820 6453,Đang mở cửa: 10:00 SA - 11:30 CH,4.5,"Kiểu Á, Kiểu Việt, Bữa trưa, Bữa tối","80 Đông Du, Phường Bến Nghé, Quận 1 Sheraton Saigon Hotel & Towers, Thành phố Hồ Chí Minh 70000 Việt Nam",106.7042346,10.7757706
3,123 Vietnamese Cafe & Restaurant,+84 8 3829 1429,Đang mở cửa: 10:00 SA - 10:00 CH,3.5,"Kiểu Việt, Kiểu Á, Phù hợp với người ăn chay, Bữa trưa, Bữa tối","5D Nguyễn Siêu, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",106.704649,10.7778222
4,13% Gastro Wine,+84 90 455 18 12,Đang mở cửa: 11:30 SA - 12:00 SA,5.0,"Kiểu Địa Trung Hải, Thịt nướng, Quầy rượu vang, Bữa trưa, Bữa tối, Đêm muộn, Đồ uống","108 Phạm Viết Chánh Bình Thạnh, Thành phố Hồ Chí Minh 700000 Việt Nam",106.7123207,10.7899721
5,1903 Café,+84 91 421 43 34,Đang mở cửa: 07:00 SA - 10:00 CH,5.0,"Cà phê, Bữa sáng, Bữa trưa, Bữa tối","42 bis Ly Tu Trong First Floor, Thành phố Hồ Chí Minh 70000 Việt Nam",106.7013296,10.7783067
6,1920 - Prohibition,+84 96 257 27 13,,4.5,"Kiểu Pháp, Hải sản, Quốc tế, Kiểu Việt, Quầy rượu vang","42/25 Nguyễn Huệ Tầng 2, Thành phố Hồ Chí Minh Việt Nam",106.7040596,10.7740888
7,1976 - Món Ngon Vị Bắc,+84 89 978 19 76,,4.5,"Kiểu Á, Cửa hàng thức ăn ngon, Kiểu Bữa tối","112 Pham Viet Chanh, Phuong 19, Binh Thanh, Thành phố Hồ Chí Minh 00000 Việt Nam",106.7124186,10.7899294
8,22z10 Bar Saigon,+84 33 467 8825,Đang mở cửa: 08:00 SA - 01:00 SA,5.0,"Quầy bar, Quán rượu, Pizza, Cà phê, Kiểu Việt, Đêm muộn, Đồ uống","102 Cống Quỳnh Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",106.6906521,10.7648392
9,24-Nov,+84 94 108 04 17,Đóng cửa sau 50 phút nữa:  Xem tất cả giờ,4.5,"Kiểu Á, Đương đại, Kiểu Việt, Cà phê, Phù hợp với người ăn chay, Tùy chọn ăn chay, Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống","107 Tran Van Cham ,Phuoc Vinh An ,Cu Chi, Thành phố Hồ Chí Minh 84 Việt Nam",106.5161961,10.9746451
10,2G Hub,+84 8 2220 0666,Đang mở cửa: 06:00 SA - 9:00 CH,5.0,"Cà phê, Đồ ăn nhanh, Kiểu Á, Kiểu Việt, Kiểu Bữa tối, Thức ăn đường phố, Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đêm muộn, Đồ uống","Sheraton Saigon Hotel 88 Dong Khoi Street, District 1, Thành phố Hồ Chí Minh 700000 Việt Nam",106.7038779,10.7754461
11,2T Quan Nuong,Chưa xác thực,,4.5,"Đồ nướng, Kiểu Á, Kiểu Việt, Bữa trưa, Bữa tối, Chỗ ngồi, Dịch vụ bàn","Lô 9 Đường số 7 Quận 7, Tân Thuận Đông, Thành phố Hồ Chí Minh 700000 Việt Nam",106.733626,10.7411578
12,2Ti Quan,Chưa xác thực,,4.0,"Kiểu Việt, Hải sản, Bữa trưa, Chỗ ngồi","32 Võ Văn Tần Phường 6, Quận 3, Thành phố Hồ Chí Minh 700000 Việt Nam",106.6921147,10.7788073
13,3 Con Soc Sushi,+84 93 358 23 88,Đang mở cửa: 10:30 SA - 2:00 CH4:00 CH - 10:00 CH,4.0,"Kiểu Nhật, Hải sản, Bữa trưa, Bữa tối, Đặt chỗ","178-180D Hai Bà Trưng Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",106.6944294,10.786008
14,365 Degrees Pizzaria and Bar,+84 90 185 42 13,Đang mở cửa: 5:00 CH - 01:00 SA,3.5,"Kiểu Ý, Pizza, Phù hợp với người ăn chay, Bữa tối","130 Nguyễn Trãi, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",106.6907673,10.7697034
15,3T Egg Coffee Sài Gòn,+84 93 743 06 00,,5.0,Kiểu Việt,"3C Đ. Tôn Đức Thắng Le Méridien Saigon, Mezzanine Floor, Thành phố Hồ Chí Minh 70000 Việt Nam",106.7075282,10.7797911
16,4An Authentic Vietnamese Vegetarian,+84 93 579 16 50,Đang mở cửa: 10:30 SA - 10:00 CH,5.0,"Cà phê, Cửa hàng thức ăn ngon, Kiểu Việt, Bữa trưa, Bữa tối","14 Nguyễn Huệ, Bến Nghé, Quận 1 Level 1, Thành phố Hồ Chí Minh Việt Nam",106.705065,10.773268
17,4An Vegetarian,028 9999 6268,,4.0,"Cà phê, Cửa hàng thức ăn ngon, Đặt chỗ","17 Hàn Thuyên, Thành phố Hồ Chí Minh Việt Nam",106.6981641,10.7788278
18,5 Senses,+84 28 6688 7888,Đang mở cửa: 3:00 CH - 12:30 SA,5.0,"Kiểu Nhật, Quầy bar, Kiểu Á, Đương đại, Quán rượu, Phong cách ẩm thực Fusion Nhật Bản, Bữa trưa, Bữa tối, Đặt chỗ, Ăn tối phòng riêng, Chỗ ngồi, Có bãi đỗ xe, Chỉ chấp nhận tiền mặt, Chấp nhận thẻ tín dụng, Có thẻ quà tặng","35-37 Ngô Đức Kế Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",106.7054334,10.7733077
19,52/3 Kitchen & Bar,+84 90 300 76 60,Đang mở cửa: 5:00 CH - 12:00 SA,5.0,"Quầy bar, Kiểu Bữa tối, Kiểu Á, Kiểu Âu, Đương đại, Món kết hợp, Bữa tối, Bữa trưa, Đêm muộn, Đồ uống","17-19 Trịnh Văn Cấn Phường Cầu Ông Lãnh, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",106.696552,10.767174
20,5G Saigon - Bia & Mồi,+84 8 3411 5779,Đang mở cửa: 4:00 CH - 12:00 SA,4.5,"Kiểu Việt, Bữa tối, Đồ uống","185/28 Phạm Ngũ Lão Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",106.6939688,10.7682298
21,5ku Station,+84 90 777 54 87,Đang mở cửa: 4:00 CH - 04:00 SA,4.0,"Kiểu Á, Kiểu Việt, Đồ nướng, Bữa tối, Đêm muộn, Đặt chỗ, Ngồi ngoài trời, Chỗ ngồi, Phục vụ đồ uống có cồn, Wifi miễn phí, Dịch vụ bàn","131 Nguyễn Du Phường Bến Thành, Quận , Thành phố, Thành phố Hồ Chí Minh 70000 Việt Nam",106.6941184,10.7730476
22,5Wine Eatery & Wine Library,+1 289-999-6268,Đang mở cửa: 4:00 CH - 02:00 SA,5.0,"Cửa hàng thức ăn ngon, Quán bar phục vụ đồ ăn, Bữa tối","46 Nguyễn Cư Trinh Quận 1, Thành phố Hồ Chí Minh 70000 Việt Nam",106.6914443,10.7647194
23,7 Bridges Brewing Co. Saigon Taproom & Bottle Shop,+84 97 732 64 78,Đang mở cửa: 11:00 SA - 12:00 SA,4.5,"Pizza, Nhà hàng bia, Nhà hàng bán bia, Quốc tế, Quán rượu, Bữa trưa, Bữa tối, Bữa nửa buổi, Đêm muộn, Đồ uống, Giao hàng, Cửa hàng bán thức ăn mang về, Đặt chỗ, Ngồi ngoài trời, Chỗ ngồi, Có bãi đỗ xe, Bãi đỗ xe đường phố, Phục vụ","131 Calmette Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",106.69834,10.768814
24,82 Cafe,+84 97 547 22 92,,4.5,Cà phê,"279 Pham Ngu Lao Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",106.6913898,10.7677934
25,94 Restaurant,+84 90 908 84 99,,4.0,"Kiểu Á, Hải sản, Kiểu Việt, Bữa trưa, Bữa tối, Cửa hàng bán thức ăn mang về, Chỗ ngồi","92-94 Nam Kỳ Khởi Nghĩa Tầng 28 Sedona Suites, 28th Floor, Ward, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 70000 Việt Nam",106.7004885,10.772939
26,A Bửu Lounge,+84 8 3824 2479,,4.5,Kiểu Âu,"109 Lý Tự Trọng Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",106.6975608,10.7741735
27,A Bửu Sài Gòn,+84 8 3925 7899,,4.0,"Kiểu Á, Kiểu Việt, Bữa tối, Đặt chỗ, Chỗ ngồi, Dịch vụ bàn","6B Công Trường Quốc Tế Phường 6, Quận 3, Thành phố Hồ Chí Minh 700000 Việt Nam",106.6967442,10.7819798
28,Å by TUNG,+84 98 280 85 33,Đang mở cửa: 6:00 CH - 11:30 CH,4.5,"Kiểu Âu, Kiểu Á, Quốc tế, Đương đại, Bản địa, Bữa tối, Đồ uống","186 Nguyễn Văn Hưởng, Thảo Điền, Quận 2, Thành phố Hồ Chí Minh 700000 Việt Nam",106.7287852,10.8166065
29,A.dau Kitchen,+84 327 328 258,Đang mở cửa: 6:00 CH - 11:00 CH,5.0,"Quầy bar, Kiểu Á, Cửa hàng thức ăn ngon, Quán rượu, Kiểu Bữa tối, Bản địa, Bữa tối","33B Xuân Thủy Phường Thảo Điền, Quận 2, Thành phố Hồ Chí Minh 700000 Việt Nam",106.7305746,10.8031868
30,Above Sky Bar,+84 28 3822 5678,Đang mở cửa: 5:00 CH - 12:00 SA,5.0,"Kiểu Mỹ, Kiểu Á, Kiểu Việt, Bữa tối","190-192 Võ Văn Kiệt Phường Cầu Ông Lãnh, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",106.6980572,10.7643997
31,Acoustic Bar,+84 8 3930 7627,,4.5,"Quầy bar, Quán rượu, Đồ uống, Chỗ ngồi, Tivi, Phục vụ đồ uống có cồn, Dịch vụ bàn, Nhạc sống","309B - 311 Nguyen Van Troi Street PARKROYAL Saigon, Thành phố Hồ Chí Minh 70000 Việt Nam",106.6680409,10.7995542
32,Agavesaigon,+84 70 2389 891,Đang mở cửa: 12:00 CH - 2:00 CH5:00 CH - 10:00 CH,4.5,"Kiểu Mexico, Kiểu La tinh, Quốc tế, Kiểu Tây Ban Nha, Bữa trưa, Bữa tối, Đồ uống","217 Nguyễn Văn Thủ Đa Kao, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",106.6955926,10.7861247
33,Agnes Cafe,+84 93 942 38 38,Đóng cửa sau 56 phút nữa:  Xem tất cả giờ,4.0,"Cà phê, Kiểu Mỹ, Quốc tế, Phù hợp với người ăn chay, Tùy chọn ăn chay","10B Kỳ Đồng Phường 9, Quận 3, Thành phố Hồ Chí Minh 700000 Việt Nam",106.682799,10.784456
34,Ah!Ngon Quán,+84 91 583 08 90,Đang mở cửa: 10:00 SA - 10:00 CH,5.0,"Kiểu Việt, Kiểu Bữa tối, Bữa trưa, Bữa tối","2-4-6 Lưu Văn Lang, Thành phố Hồ Chí Minh 70000 Việt Nam",106.6993049,10.7736865
35,Aiya,+84 8 3979 7774,,3.5,"Kiểu Á, Cửa hàng thức ăn ngon, Kiểu Việt, Bữa tối, Chỗ ngồi, Dịch vụ bàn","3A1 Ngô Văn Năm Bến Nghé, Quận 1, Thành phố Hồ Chí Minh Việt Nam",106.706305,10.780904
36,Ajisen Ramen,+84 8 3822 0522,Đang mở cửa: 10:00 SA - 10:00 CH,4.0,"Kiểu Nhật, Bữa trưa, Bữa tối","12 Phan Kế Bình ĐaKao, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",106.6988863,10.7906444
37,Akataiyo,+84 99 711 18 11,,4.0,"Kiểu Nhật, Sushi, Kiểu Á, Phù hợp với người ăn chay, Bữa trưa, Bữa tối","19B Ngô Quang Huy, Thao Dien Ward, Thu Duc, HCMC, Thành phố Hồ Chí Minh Việt Nam",106.7333531,10.8042635
38,Akatonbo,+84 8 3824 4928,Đang mở cửa: 11:00 SA - 2:00 CH5:30 CH - 10:30 CH,4.0,"Kiểu Nhật, Bữa trưa, Bữa tối, Đặt chỗ, Chỗ ngồi, Rượu và bia, Chấp nhận thẻ Mastercard, Chấp nhận thẻ Visa, Wifi miễn phí, Giao hàng, Cửa hàng bán thức ăn mang về, Phục vụ đồ uống có cồn, Chấp nhận thẻ tín dụng, Dịch vụ bàn","25 Thu Khoa Huan, Ben Thanh Ward, District 1, HCMC., Thành phố Hồ Chí Minh 70000 Việt Nam",106.6972097,10.7735472
